TRAIT	traitFromSource	traitFromSourceMappedIds	MESH
GCST90565150	Pain intensity (NRS pain scale 0-11)	EFO_0010639	
GCST90565151	Pain intensity (without opioid use disorder)	EFO_0010639	
GCST90565152	Pain intensity (without opioid use disorder)	EFO_0010639	
GCST90565153	Pain intensity (without opioid use disorder)	EFO_0010639	
GCST90565154	Pain intensity (without opioid use disorder)	EFO_0010639	
GCST90565155	Pain intensity (NRS pain scale 1-11)	EFO_0010639	
GCST90565156	Pain intensity (NRS pain scale 1-11)	EFO_0010639	
GCST90565157	Pain intensity (NRS pain scale 1-11)	EFO_0010639	
GCST90565158	Pain intensity (NRS pain scale 1-11)	EFO_0010639	
GCST90565159	Pain intensity (NRS pain scale 0-11)	EFO_0010639	
GCST90565160	Pain intensity (NRS pain scale 0-11)	EFO_0010639	
GCST90565161	Pain intensity (NRS pain scale 0-11)	EFO_0010639	
GCST90565162	Pain intensity (NRS pain scale 0-11)	EFO_0010639	
GCST90565163	Pain intensity (NRS pain scale 0-11)	EFO_0010639	
GCST90565164	Pain intensity (NRS pain scale 0-11)	EFO_0010639	
GCST90565165	Pain intensity (NRS pain scale 0-11)	EFO_0010639	
GCST90565166	Pain intensity (NRS pain scale 0-11)	EFO_0010639	
GCST90570207	Endometriosis (MTAG)	EFO_0001065	D004715
GCST90570209	Rheumatoid arthritis (MTAG)	EFO_0000685	D001172
GCST90570210	Multiple sclerosis (MTAG)	MONDO_0005301	D009103
GCST90570609	Asthma or colon polyp (MTAG)	MONDO_0004979;MONDO_0021400	D001249;D003111
GCST90570610	Asthma or diverticular disease (MTAG)	EFO_0009959;MONDO_0004979	D001249
GCST90570611	Asthma or gastroesophageal reflux disease (MTAG)	EFO_0003948;MONDO_0004979	D005764;D001249
GCST90570612	Asthma or irritable bowel syndrome (MTAG)	EFO_0000555;MONDO_0004979	D043183;D001249
GCST90570613	Asthma or peptic ulcer disease (MTAG)	MONDO_0004247;MONDO_0004979	D010437;D001249
GCST90570614	Bacterial pneumoniae or gastroesophageal reflux disease (MTAG)	EFO_0003948;EFO_1001272	D005764;D018410
GCST90570615	Bacterial pneumoniae or peptic ulcer disease (MTAG)	EFO_1001272;MONDO_0004247	D018410;D010437
GCST90570616	Chronic bronchitis or colon polyp (MTAG)	EFO_0006505;MONDO_0021400	D029481;D003111
GCST90570617	Chronic bronchitis or diverticular disease (MTAG)	EFO_0006505;EFO_0009959	D029481
GCST90570618	Chronic bronchitis or gastroesophageal reflux disease (MTAG)	EFO_0003948;EFO_0006505	D005764;D029481
GCST90570619	Chronic bronchitis or irritable bowel syndrome (MTAG)	EFO_0000555;EFO_0006505	D043183;D029481
GCST90570620	Chronic bronchitis or peptic ulcer disease (MTAG)	EFO_0006505;MONDO_0004247	D029481;D010437
GCST90570632	Pneumonia or colon polyp (MTAG)	EFO_0003106;MONDO_0021400	D011014;D003111
GCST90570633	Pneumonia or diverticular disease (MTAG)	EFO_0003106;EFO_0009959	D011014
GCST90570634	Pneumonia or gastroesophageal reflux disease (MTAG)	EFO_0003106;EFO_0003948	D011014;D005764
GCST90570635	Pneumonia or peptic ulcer disease (MTAG)	EFO_0003106;MONDO_0004247	D011014;D010437
GICeliacMed	Takes medication for celiac disease/sprue?	EFO_0001060;EFO_0007010	D002446
GICrohnMed	Takes medication for Crohn's disease?	EFO_0000384;EFO_0007010	D003424
GIIBSMed	Takes medication for irritable bowel syndrome (IBS)?	EFO_0000555;EFO_0007010	D043183
GIObst	Bowel obstruction	MONDO_0004565	D007415
GIObstMed	Takes medication for bowel obstruction?	EFO_0007010;MONDO_0004565	D007415
GIOthMed	Takes medication for other digestive system problems?	EFO_0000405;EFO_0007010	D007410
GIPolypMed	Takes medication for colon polyps?	MONDO_0021400	D003111
GIRefluxMed	Takes medication for acid reflux/GERD?	EFO_0003948;EFO_0007010	D005764
GIUCMed	Takes medication for ulcerative colitis?	EFO_0000729;EFO_0007010	D003093
GIUlcerMed	Takes medication for peptic ulcers?	EFO_0007010;HP_0004398	D010437
HCT_Max_INT	hematocrit (maximum, inv-norm transformed)	EFO_0004348	D006400
HCT_Mean_INT	hematocrit (mean, inv-norm transformed)	EFO_0004348	D006400
HCT_Min_INT	hematocrit (minimum, inv-norm transformed)	EFO_0004348	D006400
HCV_RNAVL_Max_INT	hepatitis C virus RNA viral load (HCV_RNAVL, maximum, inv-norm transformed)	EFO_0003047	D006526
HCV_RNAVL_Mean_INT	hepatitis C virus RNA viral load (HCV_RNAVL, mean, inv-norm transformed)	EFO_0003047	D006526
HCV_RNAVL_Min_INT	hepatitis C virus RNA viral load (HCV_RNAVL, minimum, inv-norm transformed)	EFO_0003047	D006526
HDLC_Max_INT	high density lipoprotein cholesterol (HDLC, maximum, inv-norm transformed)	EFO_0004612	
HDLC_Mean_INT	high density lipoprotein cholesterol (HDLC, mean, inv-norm transformed)	EFO_0004612	
HDLC_Min_INT	high density lipoprotein cholesterol (HDLC, minimm, inv-norm transformed)	EFO_0004612	
Hemoglobin_Max_INT	hemoglobin (maximum, inv-norm transformed)	EFO_0004509	
Hemoglobin_Mean_INT	hemoglobin (mean, inv-norm transformed)	EFO_0004509	
Hemoglobin_Min_INT	hemoglobin (minimum, inv-norm transformed)	EFO_0004509	
HVBlind	Blindness, all causes	HP_0000618	D001766
HVBlindMed	Takes medication for blindness, all causes?	EFO_0007010;HP_0000618	D001766
HVCat	Cataracts	MONDO_0005129	D002386
HVCatMed	Takes medication for Cataracts?	EFO_0007010;MONDO_0005129	D002386
HVGlaucMed	Takes medication for Glaucoma?	EFO_0007010;MONDO_0005041	D005901
HVHear	Severe hearing loss or partial deafness in one or both ears	EFO_0004238;HP_0000407	D034381;D006319
HVHearMed	Takes medication for severe hearing loss or partial deafness in one or both ears?	EFO_0004238;EFO_0007010	D034381
HVMDMed	Takes medication for Macular Degeneration?	EFO_0007010;EFO_0009606	D008268
HVTin	Tinnitus or ringing in the ears	HP_0000360	D014012
HVTinMed	Takes medication for tinnitus or ringing in  the ears?	EFO_0007010;HP_0000360	D014012
INR_Max_INT	PT international normalized ratio (INR, maximum, inv-norm transformed)	EFO_0008390	
INR_Mean_INT	PT international normalized ratio (INR, mean, inv-norm transformed)	EFO_0008390	
INR_Min_INT	PT international normalized ratio (INR, minimum, inv-norm transformed)	EFO_0008390	
Iron_Max_INT	iron (maximum, inv-norm transformed)	OBA_2050055	
Iron_Mean_INT	iron (mean, inv-norm transformed)	OBA_2050055	
Iron_Min_INT	iron (minimum, inv-norm transformed)	OBA_2050055	
KDAcute	Acute kidney disease with no current dialysis	EFO_0003086	D007674
KDAcuteMed	Takes medication for acute kidney disease with no current dialysis?	EFO_0003086;EFO_0007010	D007674
KDDial	Kidney disease with dialysis	EFO_0003086	D007674
KDDialMed	Takes medication for kidney disease with dialysis?	EFO_0003086;EFO_0007010	D007674
KDNoDial	Kidney disease without dialysis	EFO_0003086	D007674
KDNoDialMed	Takes medication for kidney disease without dialysis?	EFO_0007010	
LDLC_Max_INT	low density lipoprotein cholesterol (LDLC, maximum, inv-norm transformed)	EFO_0004611	
LDLC_Mean_INT	low density lipoprotein cholesterol (LDLC, mean, inv-norm transformed)	EFO_0004611	
LDLC_Min_INT	low density lipoprotein cholesterol (LDLC, minimum, inv-norm transformed)	EFO_0004611	
Lymph_Abs_Max_INT	lymphocyte (absolute count, maximum, inv-norm transformed)	EFO_0004587	D018655
Lymph_Abs_Mean_INT	lymphocyte (absolute count, mean, inv-norm transformed)	EFO_0004587	D018655
Lymph_Abs_Min_INT	lymphocyte (absolute count, minimum, inv-norm transformed)	EFO_0004587	D018655
Lymph_Fra_Max_INT	lymphocyte (fraction, maximum, inv-norm transformed)	EFO_0004587	D018655
Lymph_Fra_Mean_INT	lymphocyte (fraction, mean, inv-norm transformed)	EFO_0004587	D018655
Lymph_Fra_Min_INT	lymphocyte (fraction, minimum, inv-norm transformed)	EFO_0004587	D018655
MCH_Max_INT	mean corpuscular hemoglobin (MCH, maximum, inv-norm transformed)	EFO_0004528	
MCH_Mean_INT	mean corpuscular hemoglobin (MCH, mean, inv-norm transformed)	EFO_0004528	
MCH_Min_INT	mean corpuscular hemoglobin (MCH, minimum, inv-norm transformed)	EFO_0004528	
MCHC_Max_INT	mean corpuscular hemoglobin concentration (MCHC, maximum, inv-norm transformed)	EFO_0004528	
MCHC_Mean_INT	mean corpuscular hemoglobin concentration (MCHC, mean, inv-norm transformed)	EFO_0004528	
MCHC_Min_INT	mean corpuscular hemoglobin concentration (MCHC, minimum, inv-norm transformed)	EFO_0004528	
MCV_Max_INT	mean corpuscular volume (MCV, maximum, inv-norm transformed)	OBA_0003460	
MCV_Mean_INT	mean corpuscular volume (MCV, mean, inv-norm transformed)	OBA_0003460	
MCV_Min_INT	mean corpuscular volume (MCV, minimum, inv-norm transformed)	OBA_0003460	
Mg_BSP_Max_INT	magnesium (Mg, maximum, inv-norm transformed)	EFO_0004845	
Mg_BSP_Mean_INT	magnesium (Mg, mean, inv-norm transformed)	EFO_0004845	
Mg_BSP_Min_INT	magnesium (Mg, minimum, inv-norm transformed)	EFO_0004845	
MGpCaLung	Biological Grandparent (maternal):  Cancer, Lung	EFO_0006953	
MGpCircCAD	Biological Grandparent (maternal): Coronary Artery / Coronary Heart Disease	EFO_0000493;EFO_0001645	D017202
MGpCircChol	Biological Grandparent (maternal): High cholesterol	EFO_0000493;HP_0003124	
MGpCircHTN	Biological Grandparent (maternal): High blood pressure	EFO_0000493;EFO_0000537	D006973
MGpCircStrk	Biological Grandparent (maternal): Stroke / Transient Ischemic Attack (TIA)	EFO_0000493;EFO_0003764	D002546
MGpDoAsth	Biological Grandparent (maternal) (maternal): Asthma	EFO_0000493;MONDO_0004979	D001249
MGpDoKid	Biological Grandparent (maternal): Kidney Disease	EFO_0000493;EFO_0003086	D007674
MGpDoLiver	Biological Grandparent (maternal): Liver Condition	EFO_0000493;EFO_0001421	D008107
MGpDoLung	Biological Grandparent (maternal): Chronic Lung Disease including COPD, Emphysema or Bronchitis	EFO_0000493;EFO_0003818	D008171
MGpMHBPD	Biological Grandparent (maternal): Bipolar Disorder	EFO_0000493;MONDO_0004985	D001714
MGpMHDep	Biological Grandparent (maternal): Depression	MONDO_0002050	D003866
MGpMHSCZ	Biological Grandparent (maternal): Schizophrenia	EFO_0000493;MONDO_0005090	
MGpNSAlz	Biological Grandparent (maternal): Alzheimer's / Other Dementia	EFO_0009268	
MomCaLung	Biological Mother:  Cancer, Lung	EFO_0006953	
MomCircCAD	Biological Mother: Coronary Artery / Coronary Heart Disease	EFO_0000493;EFO_0001645	D017202
MomCircChol	Biological Mother: High cholesterol	EFO_0000493;HP_0003124	
MomCircHTN	Biological Mother: High blood pressure	EFO_0000493;EFO_0000537	D006973
MomCircStrk	Biological Mother: Stroke / Transient Ischemic Attack (TIA)	EFO_0000493;EFO_0003764	D002546
MomDoAsth	Biological Mother: Asthma	EFO_0000493;MONDO_0004979	D001249
MomDoKid	Biological Mother: Kidney Disease	EFO_0000493;EFO_0003086	D007674
MomDoLiver	Biological Mother: Liver Condition	EFO_0000493;EFO_0001421	D008107
MomDoLung	Biological Mother: Chronic Lung Disease including COPD, Emphysema or Bronchitis	EFO_0000493;EFO_0003818	D008171
MomMHBPD	Biological Mother: Bipolar Disorder	EFO_0000493;MONDO_0004985	D001714
MomMHDep	Biological Mother: Depression	MONDO_0002050	D003866
MomMHSCZ	Biological Mother: Schizophrenia	EFO_0000493;MONDO_0005090	
MomNSAlz	Biological Mother: Alzheimer's / Other Dementia	EFO_0009268	
Mono_Abs_Max_INT	monocyte (absolute count, maximum, inv-norm transformed)	EFO_0005091	
Mono_Abs_Mean_INT	monocyte (absolute count, mean, inv-norm transformed)	EFO_0005091	
Mono_Abs_Min_INT	monocyte (absolute count, minimum, inv-norm transformed)	EFO_0005091	
Mono_Fra_Max_INT	monocyte (fraction, maximum, inv-norm transformed)	EFO_0005091	
Mono_Fra_Mean_INT	monocyte (fraction, mean, inv-norm transformed)	EFO_0005091	
Mono_Fra_Min_INT	monocyte (fraction, minimum, inv-norm transformed)	EFO_0005091	
MPV_Max_INT	mean platelet volume (MPV, maximum, inv-norm transformed)	OBA_0003277	
MPV_Mean_INT	mean platelet volume (MPV, mean, inv-norm transformed)	OBA_0003277	
MPV_Min_INT	mean platelet volume (MPV, minimum, inv-norm transformed)	OBA_0003277	
MultiBrth	Are you a twin, triplet, or other multiple birth?	EFO_0009439	
Neut_Abs_Max_INT	neutrophil (absolute count, maximum, inv-norm transformed)	EFO_0004833	
Neut_Abs_Mean_INT	neutrophil (absolute count, mean, inv-norm transformed)	EFO_0004833	
Neut_Abs_Min_INT	neutrophil (absolute count, minimum, inv-norm transformed)	EFO_0004833	
Neut_Fra_Max_INT	neutrophil (fraction, maximum, inv-norm transformed)	EFO_0004833	
Neut_Fra_Mean_INT	neutrophil (fraction, mean, inv-norm transformed)	EFO_0004833	
Neut_Fra_Min_INT	neutrophil (fraction, minimum, inv-norm transformed)	EFO_0004833	
NSALSMed	Takes medication for Amytrophic Lateral Sclerosis (ALS or Lou Gehrig's Disease)?	EFO_0007010;MONDO_0004976	D000690
NSDem	Dementia (includes Alzheimer's, Vascular, etc.)	MONDO_0001627	D003704
NSDemMed	Takes medication for Dementia (includes Alzheimer's, Vascular, etc.)?	EFO_0007010;MONDO_0001627	D003704
NSEpilMed	Takes medication for epilepsy/seizure disorder?	EFO_0000474;EFO_0007010	D004827
NSLOC	Concussion or loss of consciousness	HP_0007185	D014474
NSLOCMed	Takes medication for concussion or loss of consciousness?	EFO_0007010;HP_0007185	D014474
NSMemLossMed	Takes medication for memory loss or impairment?	EFO_0001072;EFO_0007010	
NSMigrnMed	Takes medication for migraine headaches?	EFO_0007010;MONDO_0005277	D008881
NSMSMed	Takes medication for multiple sclerosis?	EFO_0007010;MONDO_0005301	D009103
NSOth	Other nervous system problem	EFO_0009490	D020196
NSOthHdMed	Takes medication for other headaches?	EFO_0007010;EFO_0009550	D020773
NSOthMed	Takes medication for other nervous system problems?	EFO_0007010;EFO_0009490	D020196
NSPDMed	Takes medication for parkinson's disease?	EFO_0007010;MONDO_0005180	D010300
NSSCIMed	Takes medication for spinal cord injury?	EFO_0007010;EFO_1001919	D013119
NSTBIMed	Takes medication for Traumatic Brain Injury (TBI)?	EFO_0007010;MONDO_0043510	D001930
PGpCaLung	Biological Grandparent (paternal):  Cancer, Lung	EFO_0006953	
PGpCircCAD	Biological Grandparent (paternal): Coronary Artery / Coronary Heart Disease	EFO_0000493;EFO_0001645	D017202
PGpCircChol	Biological Grandparent (paternal): High cholesterol	EFO_0000493;HP_0003124	
PGpCircHTN	Biological Grandparent (paternal): High blood pressure	EFO_0000493;EFO_0000537	D006973
PGpCircStrk	Biological Grandparent (paternal): Stroke / Transient Ischemic Attack (TIA)	EFO_0000493;EFO_0003764	D002546
PGpDoAsth	Biological Grandparent (paternal): Asthma	EFO_0000493;MONDO_0004979	D001249
PGpDoKid	Biological Grandparent (paternal): Kidney Disease	EFO_0000493;EFO_0003086	D007674
PGpDoLiver	Biological Grandparent (paternal): Liver Condition	EFO_0000493;EFO_0001421	D008107
PGpDoLung	Biological Grandparent (paternal): Chronic Lung Disease including COPD, Emphysema or Bronchitis	EFO_0000493;EFO_0003818	D008171
PGpMHBPD	Biological Grandparent (paternal): Bipolar Disorder	EFO_0000493;MONDO_0004985	D001714
PGpMHDep	Biological Grandparent (paternal): Depression	MONDO_0002050	D003866
PGpNSAlz	Biological Grandparent (paternal): Alzheimer's / Other Dementia	EFO_0009268	
Phe_008	Intestinal infection	MONDO_0000916	
Phe_008_5	Bacterial enteritis	MONDO_0000916	
Phe_008_5	Bacterial enteritis	MONDO_0043579	D004751
Phe_008_52	Intestinal infection due to C. difficile	EFO_0005741	D003141
Phe_008_52	Intestinal infection due to C. difficile	MONDO_0000916	
Phe_008_6	Viral Enteritis	EFO_0000763;EFO_0009431	D014777;D007410
Phe_008_6	Viral Enteritis	MONDO_0043579	D004751
Phe_010	Tuberculosis	EFO_0008407	
Phe_010	Tuberculosis	MONDO_0018076	D014376
Phe_038	Septicemia	EFO_0003033	D016470
Phe_038	Septicemia	HP_0100806	
Phe_038_1	Gram negative septicemia	EFO_0003033	D016470
Phe_038_1	Gram negative septicemia	MONDO_0021678	D016905
Phe_038_2	Gram positive septicemia	EFO_0003033	D016470
Phe_038_2	Gram positive septicemia	MONDO_0021679	D016908
Phe_038_3	Bacteremia	EFO_0003033	D016470
Phe_041	Bacterial infection NOS	EFO_0000771	D001424
Phe_041_1	Staphylococcus infections	EFO_1001849	D013207
Phe_041_11	Methicillin sensitive Staphylococcus aureus	EFO_0008555	
Phe_041_12	Methicillin resistant Staphylococcus aureus	EFO_0008555	
Phe_041_2	Streptococcus infection	EFO_1001476	D013290
Phe_041_4	E. coli	EFO_1001318	D004927
Phe_041_9	Infection with drug-resistant microorganisms	EFO_0005741	D003141
Phe_053	Herpes zoster	EFO_0006510	D006562
Phe_053	Herpes zoster	EFO_0008401	
Phe_053_1	Herpes zoster with nervous system complications	EFO_0000618;EFO_0006510;EFO_0009518	D009422;D006562
Phe_054	Herpes simplex	EFO_1002022	D006561
Phe_070	Viral hepatitis	EFO_0004196	D006525
Phe_070_2	Viral hepatitis B	EFO_0004197	D019694
Phe_070_3	Viral hepatitis C	EFO_0003047	D006526
Phe_070_4	Chronic hepatitis	EFO_0008496	
Phe_070_9	Hepatitis NOS	HP_0012115	D006505
Phe_078	Viral warts & HPV	EFO_0004510;EFO_0009662	D014860
Phe_078	Viral warts & HPV	EFO_0009662	D014860
Phe_079	Viral infection	EFO_0000763	D014777
Phe_079	Viral infection	EFO_1001288	D002694
Phe_080	Postoperative infection	EFO_0005323	
Phe_081	Infection/inflammation of internal prosthetic device; implant; and graft	EFO_0009658	
Phe_090	Sexually transmitted infections (not HIV or hepatitis)	MONDO_0021681	D012749
Phe_1000	Burns	EFO_0009516	
Phe_1001	Foreign body injury	EFO_0000546	D014947
Phe_1001	Foreign body injury	EFO_0009525	
Phe_1002	Symptoms concerning nutrition, metabolism, and development	EFO_0003765	D012816
Phe_1004	Other signs and symptoms involving emotional state	EFO_0007803	
Phe_1005	Other symptoms	EFO_0003765	D012816
Phe_1008	Crushing or internal injury to organs	EFO_0009504	
Phe_1008	Crushing or internal injury to organs	EFO_0009506	
Phe_1009	Injury, NOS	EFO_0000546	D014947
Phe_1010	Other tests	EFO_0007540	D006524
Phe_1011	Complications of surgical and medical procedures	EFO_0002571;EFO_0009518	
Phe_1011	Complications of surgical and medical procedures	EFO_0009518	
Phe_1012	Late effect	EFO_0000719	
Phe_1013	Asphyxia and hypoxemia	EFO_0009446;EFO_0009447	
Phe_1014	Effects of heat, cold and air pressure	GO_0050896	
Phe_1015	Effects of other external causes	GO_0006950	
Phe_1015	Effects of other external causes	GO_0050896	
